,version,num_steps,model_size,time
87,"C v2 (gcc, -O3)",40.0,1000.0,0.0016207279986701906
88,"C v2 (gcc, -Ofast)",40.0,1000.0,0.0015480950023629703
89,"C v2 (gcc, -Ofast, autoparallel)",40.0,1000.0,0.0015440710049006157
90,"C v3 (gcc, -O3)",40.0,1000.0,0.001079831003153231
91,"C v4 (gcc, -O3)",40.0,1000.0,0.0009638980045565404
92,"C v5 (gcc, -O2)",40.0,1000.0,0.0009657320042606443
93,"C v5 (gcc, -O3)",40.0,1000.0,0.0009606339954189025
94,"C v5 (gcc, -Ofast)",40.0,1000.0,0.0010216699956799857
95,Python v1,50.0,1000.0,3.7408802609934355
96,Python v2,50.0,1000.0,3.6515957709998474
97,Numba v1,50.0,1000.0,0.3802965860013501
98,Numba v2,50.0,1000.0,0.40781748800509376
99,Numba v3,50.0,1000.0,0.3568522350033163
100,Numba v4,50.0,1000.0,0.34073674499813933
101,Fortran v1,50.0,1000.0,0.0008110229973681271
102,Fortran v2,50.0,1000.0,0.0008259829992312007
103,Fortran v3,50.0,1000.0,0.0008045709982980043
104,"C v1 (gcc, -O3)",50.0,1000.0,0.003010082000400871
105,"C v2 (gcc, -O2)",50.0,1000.0,0.0020251309979357757
106,"C v2 (gcc, -O3)",50.0,1000.0,0.002018604995100759
107,"C v2 (gcc, -Ofast)",50.0,1000.0,0.0020747409944306128
108,"C v2 (gcc, -Ofast, autoparallel)",50.0,1000.0,0.002209686004789546
109,"C v3 (gcc, -O3)",50.0,1000.0,0.0013973839959362522
110,"C v4 (gcc, -O3)",50.0,1000.0,0.00127566800074419
111,"C v5 (gcc, -O2)",50.0,1000.0,0.0012672550001298077
112,"C v5 (gcc, -O3)",50.0,1000.0,0.0012665569956880063
113,"C v5 (gcc, -Ofast)",50.0,1000.0,0.0013571900053648278
114,Python v1,60.0,1000.0,4.591952173002937
115,Python v2,60.0,1000.0,4.418979032001516
116,Numba v1,60.0,1000.0,0.37753469000017503
117,Numba v2,60.0,1000.0,0.40847101099643623
118,Numba v3,60.0,1000.0,0.36339275499631185
119,Numba v4,60.0,1000.0,0.3556113489976269
120,Fortran v1,60.0,1000.0,0.0012421709980117157
121,Fortran v2,60.0,1000.0,0.0010167750006075948
122,Fortran v3,60.0,1000.0,0.0009748320007929578
123,"C v1 (gcc, -O3)",60.0,1000.0,0.0025183899997500703
124,"C v2 (gcc, -O2)",60.0,1000.0,0.00251215799653437
125,"C v2 (gcc, -O3)",60.0,1000.0,0.0026280089950887486
126,"C v2 (gcc, -Ofast)",60.0,1000.0,0.0025856830034172162
127,"C v2 (gcc, -Ofast, autoparallel)",60.0,1000.0,0.0025794320026761852
128,"C v3 (gcc, -O3)",60.0,1000.0,0.0016982219967758283
129,"C v4 (gcc, -O3)",60.0,1000.0,0.0015742690011393279
130,"C v5 (gcc, -O2)",60.0,1000.0,0.0015718180002295412
131,"C v5 (gcc, -O3)",60.0,1000.0,0.0015692279994254932
132,"C v5 (gcc, -Ofast)",60.0,1000.0,0.0016811249952297658
133,Python v1,70.0,1000.0,5.316472325001087
134,Python v2,70.0,1000.0,5.218911329997354
135,Numba v1,70.0,1000.0,0.38151233800454065
136,Numba v2,70.0,1000.0,0.4122427490001428
137,Numba v3,70.0,1000.0,0.37459113499789964
138,Numba v4,70.0,1000.0,0.36362478799856035
139,Fortran v1,70.0,1000.0,0.0017951789996004663
140,Fortran v2,70.0,1000.0,0.0011716349981725216
141,Fortran v3,70.0,1000.0,0.0011690359970089048
142,"C v1 (gcc, -O3)",70.0,1000.0,0.003180284002155531
143,"C v2 (gcc, -O2)",70.0,1000.0,0.003148902003886178
144,"C v2 (gcc, -O3)",70.0,1000.0,0.003005129998200573
145,"C v2 (gcc, -Ofast)",70.0,1000.0,0.0032148199970833957
146,"C v2 (gcc, -Ofast, autoparallel)",70.0,1000.0,0.0030838759994367138
147,"C v3 (gcc, -O3)",70.0,1000.0,0.002033790005953051
148,"C v4 (gcc, -O3)",70.0,1000.0,0.00188739499571966
149,"C v5 (gcc, -O2)",70.0,1000.0,0.001876972004538402
150,"C v5 (gcc, -O3)",70.0,1000.0,0.0018737840000540018
151,"C v5 (gcc, -Ofast)",70.0,1000.0,0.0019596669953898527
152,Python v1,80.0,1000.0,6.19685404500342
153,Python v2,80.0,1000.0,5.870622227004787
154,Numba v1,80.0,1000.0,0.3806793830008246
155,Numba v2,80.0,1000.0,0.4126616040011868
156,Numba v3,80.0,1000.0,0.38323845400009304
157,Numba v4,80.0,1000.0,0.372914411003876
158,Fortran v1,80.0,1000.0,0.0017657139978837222
159,Fortran v2,80.0,1000.0,0.0013798180007142946
160,Fortran v3,80.0,1000.0,0.0013890120026189834
161,"C v1 (gcc, -O3)",80.0,1000.0,0.00448004999634577
162,"C v2 (gcc, -O2)",80.0,1000.0,0.0035774310017586686
163,"C v2 (gcc, -O3)",80.0,1000.0,0.0035784809952019714
164,"C v2 (gcc, -Ofast)",80.0,1000.0,0.003742492997844238
165,"C v2 (gcc, -Ofast, autoparallel)",80.0,1000.0,0.00373566200141795
166,"C v3 (gcc, -O3)",80.0,1000.0,0.0023815669992472976
167,"C v4 (gcc, -O3)",80.0,1000.0,0.0021950369991827756
168,"C v5 (gcc, -O2)",80.0,1000.0,0.002191594001487829
169,"C v5 (gcc, -O3)",80.0,1000.0,0.002196454006480053
